Device,Trip,Time,NativeFlag,LocalTimeMS,IntersectId,LaneId,MovementPhase,SignalGroupId,MinEndTime
2004,55,13000,0,86370906,4096,4,3,6,35740
2004,55,13050,0,86371406,4096,4,3,6,35740
2004,55,13100,0,86371906,4096,4,3,6,35740
2004,55,13150,0,86372406,4096,4,3,6,35740
2004,55,13200,0,86372906,4096,4,3,6,35740
2004,55,13250,0,86373406,4096,4,3,6,35740
2004,55,13300,0,86373906,4096,4,3,6,35740
2004,55,13350,0,86374406,4096,4,3,6,35740
2004,55,13400,0,86374906,4096,4,3,6,35740
2004,55,13450,0,86375406,4096,4,1,6,35925
2004,55,13500,0,86375906,4096,4,1,6,35925
2004,55,13550,0,86376406,4096,4,1,6,35925
2004,55,13600,0,86376906,4096,4,1,6,35925
2004,55,13650,0,86377406,4096,4,1,6,35925
2004,55,13700,0,86377906,4096,4,1,6,35925
2004,55,13750,0,86378407,4096,4,1,6,35925
2004,55,13800,0,86378907,4096,4,1,6,35925
2004,55,13850,0,86379407,4096,4,1,6,35925
2004,55,13900,0,86379909,4096,4,1,6,35925
2004,55,13950,0,86380507,4096,4,1,6,35925
2004,55,14000,0,86381007,4096,4,1,6,35925
2004,55,14050,0,86381507,4096,4,1,6,35925
2004,55,14100,0,86382007,4096,4,1,6,35925
2004,55,14150,0,86382507,4096,4,1,6,35925
2004,72,23900,0,80700472,2103,11,4,4,15174
2004,72,23950,0,80700972,2103,11,4,4,15174
2004,72,24000,0,80701472,2103,11,4,4,15174
2004,72,24050,0,80701972,2103,11,4,4,15174
2004,72,24100,0,80702472,2103,11,4,4,15174
2004,72,24150,0,80702972,2103,11,4,4,15174
2004,72,24200,0,80703472,2103,11,4,4,15174
2004,72,24250,0,80703972,2103,11,4,4,15174
2004,72,24300,0,80704473,2103,11,4,4,15174
2004,72,24350,0,80705072,2103,11,4,4,15174
2004,72,24400,0,80705572,2103,11,4,4,15174
2004,72,24450,0,80706072,2103,11,4,4,15174
2004,72,24500,0,80706572,2103,11,4,4,15174
2004,72,24550,0,80707072,2103,11,4,4,15174
2004,72,24600,0,80707572,2103,11,4,4,15174
2004,72,24650,0,80708072,2103,11,4,4,15174
2004,72,24700,0,80708572,2103,11,4,4,15174
2004,72,24750,0,80709072,2103,11,4,4,15174
2004,72,24800,0,80709572,2103,11,4,4,15174
2004,72,24850,0,80710072,2103,11,4,4,15174
2004,72,24900,0,80710572,2103,11,4,4,15174
2004,72,24950,0,80711072,2103,11,4,4,15174
2004,72,25000,0,80711572,2103,11,4,4,15174
2004,72,25050,0,80712072,2103,11,4,4,15174
2004,72,25100,0,80712572,2103,11,4,4,15174
2004,72,25150,0,80713072,2103,11,4,4,15174
2004,72,25200,0,80713574,2103,11,4,4,15174
2004,72,25250,1,80714173,2103,11,4,4,15174
2004,72,25300,1,80714673,2103,11,4,4,15174
